dataset,language,child_count,support,proportion,min_child_count,max_child_count
monolingual,all,0,358,0.6806083650190115,0,14
monolingual,all,1,64,0.12167300380228137,0,14
monolingual,all,2,27,0.051330798479087454,0,14
monolingual,all,3,20,0.03802281368821293,0,14
monolingual,all,4,21,0.039923954372623575,0,14
monolingual,all,5,8,0.015209125475285171,0,14
monolingual,all,6,9,0.017110266159695818,0,14
monolingual,all,7,4,0.0076045627376425855,0,14
monolingual,all,8,9,0.017110266159695818,0,14
monolingual,all,9,2,0.0038022813688212928,0,14
monolingual,all,10,2,0.0038022813688212928,0,14
monolingual,all,11,1,0.0019011406844106464,0,14
monolingual,all,14,1,0.0019011406844106464,0,14
monolingual,en,0,358,0.6806083650190115,0,14
monolingual,en,1,64,0.12167300380228137,0,14
monolingual,en,2,27,0.051330798479087454,0,14
monolingual,en,3,20,0.03802281368821293,0,14
monolingual,en,4,21,0.039923954372623575,0,14
monolingual,en,5,8,0.015209125475285171,0,14
monolingual,en,6,9,0.017110266159695818,0,14
monolingual,en,7,4,0.0076045627376425855,0,14
monolingual,en,8,9,0.017110266159695818,0,14
monolingual,en,9,2,0.0038022813688212928,0,14
monolingual,en,10,2,0.0038022813688212928,0,14
monolingual,en,11,1,0.0019011406844106464,0,14
monolingual,en,14,1,0.0019011406844106464,0,14
bilingual,all,0,716,0.6806083650190115,0,14
bilingual,all,1,128,0.12167300380228137,0,14
bilingual,all,2,54,0.051330798479087454,0,14
bilingual,all,3,40,0.03802281368821293,0,14
bilingual,all,4,42,0.039923954372623575,0,14
bilingual,all,5,16,0.015209125475285171,0,14
bilingual,all,6,18,0.017110266159695818,0,14
bilingual,all,7,8,0.0076045627376425855,0,14
bilingual,all,8,18,0.017110266159695818,0,14
bilingual,all,9,4,0.0038022813688212928,0,14
bilingual,all,10,4,0.0038022813688212928,0,14
bilingual,all,11,2,0.0019011406844106464,0,14
bilingual,all,14,2,0.0019011406844106464,0,14
bilingual,en,0,358,0.6806083650190115,0,14
bilingual,en,1,64,0.12167300380228137,0,14
bilingual,en,2,27,0.051330798479087454,0,14
bilingual,en,3,20,0.03802281368821293,0,14
bilingual,en,4,21,0.039923954372623575,0,14
bilingual,en,5,8,0.015209125475285171,0,14
bilingual,en,6,9,0.017110266159695818,0,14
bilingual,en,7,4,0.0076045627376425855,0,14
bilingual,en,8,9,0.017110266159695818,0,14
bilingual,en,9,2,0.0038022813688212928,0,14
bilingual,en,10,2,0.0038022813688212928,0,14
bilingual,en,11,1,0.0019011406844106464,0,14
bilingual,en,14,1,0.0019011406844106464,0,14
bilingual,de,0,358,0.6806083650190115,0,14
bilingual,de,1,64,0.12167300380228137,0,14
bilingual,de,2,27,0.051330798479087454,0,14
bilingual,de,3,20,0.03802281368821293,0,14
bilingual,de,4,21,0.039923954372623575,0,14
bilingual,de,5,8,0.015209125475285171,0,14
bilingual,de,6,9,0.017110266159695818,0,14
bilingual,de,7,4,0.0076045627376425855,0,14
bilingual,de,8,9,0.017110266159695818,0,14
bilingual,de,9,2,0.0038022813688212928,0,14
bilingual,de,10,2,0.0038022813688212928,0,14
bilingual,de,11,1,0.0019011406844106464,0,14
bilingual,de,14,1,0.0019011406844106464,0,14
