condition,lambda_language_alignment,seed,language,task_type,decoding_rule,n,target_mean,target_median,prediction_mean,mae,rmse,mse,mean_baseline_mae,mean_baseline_rmse,median_baseline_mae,median_baseline_rmse
align000,0.0,0,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.8539537470150357,0.46832779056601537,0.6998778202483151,0.4898289632755329,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,0,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8566375164555903,0.46961061309796437,0.7092677623093507,0.5030607586513136,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,0,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8512699775744811,0.4670449680340664,0.6903601725909109,0.4765971678997522,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,1,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.9418746622389063,0.4715316007143956,0.6827180934128732,0.4661039950733086,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,1,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.941009330464095,0.4710983217166234,0.6834084851682132,0.4670471575999118,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,1,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9427399940137174,0.47196487971216783,0.6820270027987935,0.46516083254670537,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,2,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.9132480661211245,0.4609968260058092,0.6825873512678754,0.46592549211089396,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,2,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9141598251779269,0.4748073467283648,0.6981459798272522,0.4874078091489541,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,2,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.912336307064322,0.44718630528325365,0.6666657146372789,0.44444317507283376,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,3,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,1.0112347068484633,0.5293790805985719,0.7569464667165842,0.5729679534747208,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,3,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,1.005755125350202,0.5362879294732111,0.7586593148378696,0.5755639559902658,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,3,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,1.0167142883467244,0.5224702317239327,0.7552297338950419,0.5703719509591758,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,4,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.8748907315059646,0.4775935388435769,0.6965377683607434,0.4851648627529647,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,4,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8703499489212444,0.4797156652145286,0.6935952294141227,0.48107434226602946,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,4,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8794315140906849,0.4754714124726252,0.6994679286714295,0.48925538323990003,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,5,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.9675800570750701,0.5014646722839529,0.7051000360652795,0.4971660608592584,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,5,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9814466340644391,0.5027696936543563,0.7047362868329914,0.4966532339791523,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,5,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9537134800857011,0.5001596509135494,0.7054635977421971,0.4976788877393645,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,6,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.9242065542239427,0.48646054138560485,0.7153209029939457,0.5116839942600738,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,6,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9152603526971526,0.4715826745594749,0.6928445075204522,0.480033511601258,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,6,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9331527557507328,0.5013384082117348,0.7371122553036883,0.5433344769188897,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,7,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.8596583659204693,0.520837557151517,0.7585064433154205,0.5753320245510093,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,7,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8570391558563981,0.5166404515136558,0.7589715174185118,0.5760377642525583,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,7,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8622775759845406,0.5250346627893784,0.7580410838796671,0.5746262848494604,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,8,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.9182985482716175,0.5261899484286063,0.774613724426725,0.6000264220702424,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
