metric,seed,lambda_000,lambda_003,difference_003_minus_000
cross_language_top1_id_accuracy,0,0.9496197718631179,0.9553231939163498,0.005703422053231932
cross_language_top1_id_accuracy,1,0.9334600760456274,0.9363117870722434,0.002851711026615966
cross_language_top1_id_accuracy,2,0.94106463878327,0.9429657794676806,0.0019011406844106071
cross_language_top1_id_accuracy,3,0.9153992395437263,0.9182509505703422,0.002851711026615966
cross_language_top1_id_accuracy,4,0.9429657794676806,0.9363117870722434,-0.0066539923954371805
cross_language_top1_id_accuracy,5,0.9448669201520913,0.9401140684410646,-0.004752851711026684
cross_language_top1_id_accuracy,6,0.9268060836501901,0.9344106463878327,0.0076045627376425395
cross_language_top1_id_accuracy,7,0.9258555133079848,0.9363117870722434,0.010456273764258617
cross_language_top1_id_accuracy,8,0.9448669201520913,0.9420152091254753,-0.002851711026615966
cross_language_top1_id_accuracy,9,0.9230038022813688,0.9230038022813688,0.0
cross_language_mrr,0,0.9743346007604563,0.9773447401774399,0.0030101394169835816
cross_language_mrr,1,0.9640367553865652,0.9660171102661597,0.0019803548795944703
cross_language_mrr,2,0.9685836501901142,0.9698510773130545,0.0012674271229403677
cross_language_mrr,3,0.9538973384030418,0.9565906210392903,0.002693282636248462
cross_language_mrr,4,0.9689005069708493,0.9660171102661599,-0.0028833967046894005
cross_language_mrr,5,0.971641318124208,0.9694233206590621,-0.002217997465145838
cross_language_mrr,6,0.9604721166032955,0.9645437262357415,0.004071609632446016
cross_language_mrr,7,0.9598067173637516,0.9655576679340939,0.005750950570342361
cross_language_mrr,8,0.9698193916349812,0.968155893536122,-0.0016634980988592396
cross_language_mrr,9,0.9584917617237009,0.9589670468948036,0.00047528517110273505
parent_accuracy,0,0.8650190114068441,0.8602661596958175,-0.004752851711026573
parent_accuracy,1,0.8450570342205324,0.8460076045627376,0.000950570342205248
parent_accuracy,2,0.8754752851711026,0.8745247148288974,-0.000950570342205248
parent_accuracy,3,0.8669201520912547,0.8669201520912547,0.0
parent_accuracy,4,0.8659695817490495,0.873574144486692,0.0076045627376425395
parent_accuracy,5,0.8526615969581749,0.8545627376425855,0.0019011406844106071
parent_accuracy,6,0.8631178707224335,0.8612167300380228,-0.0019011406844107182
parent_accuracy,7,0.8479087452471483,0.8488593155893536,0.000950570342205248
parent_accuracy,8,0.8621673003802282,0.8631178707224335,0.0009505703422053591
parent_accuracy,9,0.8564638783269962,0.8593155893536122,0.002851711026615966
depth_accuracy,0,0.9429657794676806,0.94106463878327,-0.0019011406844106071
depth_accuracy,1,0.964828897338403,0.9657794676806084,0.0009505703422053591
depth_accuracy,2,0.967680608365019,0.9667300380228137,-0.0009505703422053591
depth_accuracy,3,0.9591254752851711,0.9591254752851711,0.0
depth_accuracy,4,0.9819391634980988,0.9809885931558935,-0.0009505703422053591
depth_accuracy,5,0.9762357414448669,0.9771863117870723,0.0009505703422053591
depth_accuracy,6,0.9781368821292775,0.9771863117870723,-0.000950570342205248
depth_accuracy,7,0.9695817490494296,0.9686311787072244,-0.000950570342205248
depth_accuracy,8,0.9439163498098859,0.9429657794676806,-0.0009505703422053591
depth_accuracy,9,0.9619771863117871,0.9629277566539924,0.0009505703422053591
next_accuracy,0,0.5960076045627376,0.5846007604562737,-0.011406844106463865
next_accuracy,1,0.6368821292775665,0.6378326996197718,0.0009505703422053591
next_accuracy,2,0.6112167300380228,0.6083650190114068,-0.002851711026615966
next_accuracy,3,0.6121673003802282,0.6074144486692015,-0.004752851711026684
