condition,lambda_language_alignment,seed,mean_structure_mu_norm,mean_structure_mu_squared_norm,mean_structure_posterior_std,mean_structure_posterior_variance,mean_structure_logvar,mean_parent_child_distance,mean_sibling_distance,mean_unrelated_distance,mean_cross_language_parent_child_distance,max_abs_diff_cached_latent_vs_checkpoint_mu
align000,0.0,0,4.17647123336792,17.6326904296875,0.6586205363273621,0.4378000497817993,-0.8448878526687622,6.10454198252948,1.7933776541834785,5.797380099165123,6.1059990841069895,0.0
align000,0.0,1,4.21931266784668,18.02259635925293,0.6323468685150146,0.402459979057312,-0.923190176486969,6.172612697173175,1.8078399242518783,5.907636051168913,6.174462143855747,0.0
align000,0.0,2,4.183738708496094,17.68901824951172,0.6564990878105164,0.4350533187389374,-0.8521429300308228,6.274129242106899,1.7688937255572448,5.817767420819051,6.274992566577272,0.0
align000,0.0,3,4.204410552978516,17.8839111328125,0.6596343517303467,0.4386562705039978,-0.8407606482505798,6.354852715668651,1.7791926468605603,5.869495334790686,6.356737062191458,0.0
align000,0.0,4,4.208484649658203,17.87249183654785,0.649517834186554,0.4257512390613556,-0.8728663921356201,6.303433816786676,1.834204550042297,5.843632368477125,6.306685846665002,0.0
align000,0.0,5,4.1931939125061035,17.762588500976562,0.6598950028419495,0.43878552317619324,-0.839201033115387,6.236576724833377,1.7726901218101576,5.743597639037629,6.239526959053584,0.0
align000,0.0,6,4.219606876373291,17.984554290771484,0.6452257037162781,0.41981881856918335,-0.8849206566810608,6.1412319075854525,1.7897685851369585,5.822840489758738,6.142891011486164,0.0
align000,0.0,7,4.1731181144714355,17.631290435791016,0.6522151827812195,0.4294382333755493,-0.8649595975875854,6.221014902541174,1.8053510698018136,5.814127013937148,6.2237289794837345,0.0
align000,0.0,8,4.245180130004883,18.197338104248047,0.6544346213340759,0.4314297139644623,-0.855251669883728,6.3164175792466235,1.8265503909422722,5.968122534935465,6.319221709964363,0.0
align000,0.0,9,4.19899845123291,17.80077362060547,0.659673273563385,0.438639760017395,-0.8400421738624573,6.001499199913186,1.8433354204738295,5.7805030517591725,6.00434728555367,0.0
align003,0.03,0,4.170422077178955,17.585208892822266,0.6562107801437378,0.43481171131134033,-0.8527646660804749,6.0888881883180215,1.7934647061866082,5.785230572685996,6.090872376870099,0.0
align003,0.03,1,4.217081069946289,18.004684448242188,0.6331874132156372,0.4035376310348511,-0.9205564856529236,6.165808036377894,1.8090929658317463,5.9054139301804085,6.167555896303328,0.0
align003,0.03,2,4.171646595001221,17.590970993041992,0.656970202922821,0.43563979864120483,-0.8506534695625305,6.2520307270318325,1.7709784426472404,5.803616245946503,6.253041089385001,0.0
align003,0.03,3,4.205413341522217,17.891935348510742,0.6580579876899719,0.43667322397232056,-0.8458473086357117,6.3548955131817415,1.7794549779974538,5.873105697135508,6.3572343567203236,0.0
align003,0.03,4,4.2095794677734375,17.87885093688965,0.6495736241340637,0.42593303322792053,-0.8730447292327881,6.293814318487869,1.8390998393297195,5.838700377669171,6.296239590828589,0.0
align003,0.03,5,4.193713188171387,17.76703453063965,0.6595211625099182,0.438327819108963,-0.8404254913330078,6.2327320019863475,1.7780245232246654,5.742570745401056,6.235940603162512,0.0
align003,0.03,6,4.218626022338867,17.979167938232422,0.6463696360588074,0.4212976098060608,-0.8813759088516235,6.14149597752301,1.794481213281165,5.822202824821037,6.142901461707834,0.0
align003,0.03,7,4.168351173400879,17.592708587646484,0.6518251895904541,0.42892682552337646,-0.866145133972168,6.209489640472941,1.8090228520946585,5.805755664300556,6.211987332571908,0.0
align003,0.03,8,4.242332458496094,18.17266845703125,0.6541887521743774,0.4311269223690033,-0.8560528755187988,6.309310059326922,1.827286994431442,5.96333264466021,6.3122739385318205,0.0
align003,0.03,9,4.192749977111816,17.750450134277344,0.659523069858551,0.43851739168167114,-0.8406848907470703,5.989600151490155,1.844427511547551,5.773840513406144,5.991910524680665,0.0
align010,0.1,0,4.130402565002441,17.26780891418457,0.6566573977470398,0.43532881140708923,-0.851174533367157,5.997288392688039,1.8392683257917306,5.725367604326386,5.998753703857893,0.0
align010,0.1,1,4.197296619415283,17.847034454345703,0.6359211802482605,0.4070831537246704,-0.9121077656745911,6.123344114061036,1.846594406767583,5.884991299743435,6.124588166817535,0.0
align010,0.1,2,4.150937080383301,17.433029174804688,0.6593483090400696,0.43878626823425293,-0.8433944582939148,6.196962876356635,1.8300810375641952,5.769393228022771,6.200290957397579,0.0
align010,0.1,3,4.191866397857666,17.799633026123047,0.6581196188926697,0.4368952810764313,-0.8460367321968079,6.307528731680559,1.832050291361747,5.859816421234109,6.310318036575538,0.0
align010,0.1,4,4.19188117980957,17.742521286010742,0.6490832567214966,0.4251979887485504,-0.8743419647216797,6.234158420838373,1.884555384516716,5.801449012280417,6.234925313262352,0.0
align010,0.1,5,4.1778693199157715,17.639057159423828,0.6643059253692627,0.4446142613887787,-0.8256961703300476,6.194140850923424,1.8259123376695625,5.71875481789103,6.198023326135095,0.0
align010,0.1,6,4.200961112976074,17.85209846496582,0.6492994427680969,0.4252083897590637,-0.8725757598876953,6.079376223229719,1.8364653866012375,5.804043898224378,6.081122637713805,0.0
align010,0.1,7,4.136266708374023,17.340835571289062,0.650724470615387,0.427603155374527,-0.8698785901069641,6.123878762901174,1.8524950338261468,5.75446043982252,6.128077197626147,0.0
align010,0.1,8,4.222395896911621,18.01650619506836,0.6553879976272583,0.43268445134162903,-0.8523549437522888,6.252428781090444,1.8642626787289913,5.929097157637429,6.256396160879117,0.0
align010,0.1,9,4.153043746948242,17.437753677368164,0.663237452507019,0.44363731145858765,-0.8298912644386292,5.910826320593068,1.8789892540478603,5.716871612255564,5.913101615933325,0.0
align030,0.3,0,4.013815879821777,16.410478591918945,0.6658898591995239,0.4476010501384735,-0.8230397701263428,5.717820610384491,2.068568953962037,5.551505055660984,5.720900035777303,0.0
align030,0.3,1,4.091677188873291,17.059690475463867,0.6425552368164062,0.41585811972618103,-0.892060399055481,5.8676999365203875,2.0355906127206174,5.73587422730125,5.874162231222053,0.0
align030,0.3,2,4.062833309173584,16.796039581298828,0.6653189659118652,0.447066992521286,-0.8263012766838074,5.993034141371475,2.0464544335614034,5.629669083048635,5.996254418856377,0.0
align030,0.3,3,4.055668830871582,16.77798843383789,0.6647465229034424,0.44556552171707153,-0.8254782557487488,5.994269133992278,2.0582442573912734,5.681899599022739,5.999379984216194,0.0
align030,0.3,4,4.0960869789123535,17.04334831237793,0.6555476784706116,0.43360671401023865,-0.8542158007621765,6.035404125849406,2.102483600894094,5.6658463402166115,6.038098325159738,0.0
align030,0.3,5,4.092284202575684,17.00992202758789,0.6758179068565369,0.4601203203201294,-0.7912030220031738,5.999330887904746,2.006537224629741,5.590313478114487,6.00534113684601,0.0
align030,0.3,6,4.068231582641602,16.83322525024414,0.6531192660331726,0.43067359924316406,-0.8621050715446472,5.780520030069443,2.0121493598857483,5.629269932386086,5.785153878217487,0.0
align030,0.3,7,4.003848075866699,16.325138092041016,0.656838059425354,0.43576669692993164,-0.8513423800468445,5.848090130584548,2.0569720237931133,5.540197986500345,5.852286336164713,0.0
align030,0.3,8,4.105612277984619,17.1346378326416,0.6571738123893738,0.4350622594356537,-0.84698486328125,6.002047089942388,2.072468101268723,5.7530474377222385,6.011221158711208,0.0
align030,0.3,9,4.0245842933654785,16.500816345214844,0.6810938715934753,0.4680866599082947,-0.7772588133811951,5.681702646905976,2.1007127473493674,5.5248961788619875,5.687791220714591,0.0
align100,1.0,0,3.348482370376587,11.705879211425781,0.7084833383560181,0.5071836113929749,-0.7003400921821594,4.602498023209085,2.3783554534762454,4.55170936451892,4.611113416666241,0.0
align100,1.0,1,3.5723447799682617,13.281245231628418,0.680601954460144,0.46652427315711975,-0.7768913507461548,4.927518579656678,2.4473997897657997,4.912253773484394,4.93455208082879,0.0
align100,1.0,2,3.531255006790161,12.90436840057373,0.7033804059028625,0.5005640387535095,-0.7174044251441956,4.955344692360689,2.4473164697617165,4.843692585032702,4.960445772361204,0.0
align100,1.0,3,3.5203053951263428,12.843828201293945,0.695256769657135,0.4871504306793213,-0.7350069880485535,5.0361989694064295,2.4189496561562343,4.814622022919782,5.034539180798797,0.0
align100,1.0,4,3.634117841720581,13.648197174072266,0.6879958510398865,0.47744861245155334,-0.7571159601211548,5.139270345025439,2.420861784255866,4.926937930597552,5.145224958600796,0.0
align100,1.0,5,3.678661346435547,13.937599182128906,0.7092946767807007,0.5073191523551941,-0.6955887079238892,5.135537207126617,2.374981803553445,4.942351483120211,5.141367401575996,0.0
align100,1.0,6,3.568864583969116,13.199975967407227,0.6939331293106079,0.48627030849456787,-0.7413265705108643,4.899972724776736,2.366988079630451,4.892730162680829,4.908021697534072,0.0
align100,1.0,7,3.4789252281188965,12.536123275756836,0.6990283727645874,0.49382495880126953,-0.7273408770561218,4.76088301030657,2.3997550474487856,4.760653260089598,4.777087780896409,0.0
align100,1.0,8,3.5903260707855225,13.301701545715332,0.6945480704307556,0.4863020181655884,-0.7372332811355591,5.104132052905757,2.482536669610899,4.933103543610628,5.10932417928828,0.0
align100,1.0,9,3.3568053245544434,11.740795135498047,0.7277427911758423,0.5347721576690674,-0.6458631157875061,4.574405269298939,2.3516741307911935,4.499830128802093,4.581655943439645,0.0
