condition,lambda_language_alignment,seed,metric,published,recomputed,abs_diff
align000,0.0,0,mean_same_id_cross_language_distance,0.7203221608080791,0.7203221608080791,0.0
align000,0.0,0,cross_language_top1_id_accuracy,0.9496197718631179,0.9496197718631179,0.0
align000,0.0,0,cross_language_mrr,0.9743346007604563,0.9743346007604563,0.0
align000,0.0,0,cross_language_top1_id_accuracy_de_to_en,0.9543726235741445,0.9543726235741445,0.0
align000,0.0,0,cross_language_top1_id_accuracy_en_to_de,0.9448669201520913,0.9448669201520913,0.0
align000,0.0,0,cross_language_mrr_de_to_en,0.976869455006337,0.976869455006337,0.0
align000,0.0,0,cross_language_mrr_en_to_de,0.9717997465145753,0.9717997465145753,0.0
align000,0.0,0,mean_cross_language_parent_child_distance,6.1059990841069895,6.1059990841069895,0.0
align000,0.0,0,mean_parent_child_distance,6.10454198252948,6.10454198252948,0.0
align000,0.0,0,mean_sibling_distance,1.7933776541834785,1.7933776541834785,0.0
align000,0.0,0,mean_unrelated_distance,5.797380099165123,5.797380099165123,0.0
align000,0.0,1,mean_same_id_cross_language_distance,0.7830130068351561,0.7830130068351561,0.0
align000,0.0,1,cross_language_top1_id_accuracy,0.9334600760456274,0.9334600760456274,0.0
align000,0.0,1,cross_language_mrr,0.9640367553865652,0.9640367553865652,0.0
align000,0.0,1,cross_language_top1_id_accuracy_de_to_en,0.935361216730038,0.935361216730038,0.0
align000,0.0,1,cross_language_top1_id_accuracy_en_to_de,0.9315589353612167,0.9315589353612167,0.0
align000,0.0,1,cross_language_mrr_de_to_en,0.9653041825095057,0.9653041825095057,0.0
align000,0.0,1,cross_language_mrr_en_to_de,0.9627693282636248,0.9627693282636248,0.0
align000,0.0,1,mean_cross_language_parent_child_distance,6.174462143855747,6.174462143855747,0.0
align000,0.0,1,mean_parent_child_distance,6.172612697173175,6.172612697173175,0.0
align000,0.0,1,mean_sibling_distance,1.8078399242518783,1.8078399242518783,0.0
align000,0.0,1,mean_unrelated_distance,5.907636051168913,5.907636051168913,0.0
align000,0.0,2,mean_same_id_cross_language_distance,0.7523199780472332,0.7523199780472332,0.0
align000,0.0,2,cross_language_top1_id_accuracy,0.94106463878327,0.94106463878327,0.0
align000,0.0,2,cross_language_mrr,0.9685836501901142,0.9685836501901142,0.0
align000,0.0,2,cross_language_top1_id_accuracy_de_to_en,0.9391634980988594,0.9391634980988594,0.0
align000,0.0,2,cross_language_top1_id_accuracy_en_to_de,0.9429657794676806,0.9429657794676806,0.0
align000,0.0,2,cross_language_mrr_de_to_en,0.9679974651457541,0.9679974651457541,0.0
align000,0.0,2,cross_language_mrr_en_to_de,0.969169835234474,0.969169835234474,0.0
align000,0.0,2,mean_cross_language_parent_child_distance,6.274992566577272,6.274992566577272,0.0
align000,0.0,2,mean_parent_child_distance,6.274129242106899,6.274129242106899,0.0
align000,0.0,2,mean_sibling_distance,1.7688937255572448,1.7688937255572448,0.0
align000,0.0,2,mean_unrelated_distance,5.817767420819051,5.817767420819051,0.0
align000,0.0,3,mean_same_id_cross_language_distance,0.7870418652042237,0.7870418652042237,0.0
align000,0.0,3,cross_language_top1_id_accuracy,0.9153992395437263,0.9153992395437263,0.0
align000,0.0,3,cross_language_mrr,0.9538973384030418,0.9538973384030418,0.0
align000,0.0,3,cross_language_top1_id_accuracy_de_to_en,0.903041825095057,0.903041825095057,0.0
align000,0.0,3,cross_language_top1_id_accuracy_en_to_de,0.9277566539923955,0.9277566539923955,0.0
align000,0.0,3,cross_language_mrr_de_to_en,0.9469264892268695,0.9469264892268695,0.0
align000,0.0,3,cross_language_mrr_en_to_de,0.9608681875792142,0.9608681875792142,0.0
