condition,lambda_language_alignment,seed,published_mean_same_id_cross_language_distance,recomputed_published_definition,posterior_mean_euclidean_distance,posterior_mean_mse_distance,same_id_pair_count_directional,uses_cached_or_recomputed_posterior_mean,sampled_latent_distance,sampled_latent_note,max_abs_diff_cached_latent_vs_checkpoint_mu
align000,0.0,0,0.7203221608080791,0.7203221608080791,0.7203221608080791,0.0699964872828752,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align000,0.0,1,0.7830130068351561,0.7830130068351561,0.7830130068351561,0.0828234280438336,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align000,0.0,2,0.7523199780472332,0.7523199780472332,0.7523199780472332,0.07643692508807313,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align000,0.0,3,0.7870418652042237,0.7870418652042237,0.7870418652042237,0.08304113591578524,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align000,0.0,4,0.7568748185956433,0.7568748185956433,0.7568748185956433,0.0771961883985271,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align000,0.0,5,0.760310213063833,0.760310213063833,0.760310213063833,0.07778435200895448,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align000,0.0,6,0.7417977192216046,0.7417977192216046,0.7417977192216046,0.07433310999205697,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align000,0.0,7,0.7704516919790112,0.7704516919790112,0.7704516919790112,0.08064080903504908,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align000,0.0,8,0.7565206067757008,0.7565206067757008,0.7565206067757008,0.07730836827067142,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align000,0.0,9,0.7690920436563601,0.7690920436563601,0.7690920436563601,0.08013130377131751,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align003,0.03,0,0.7128329456645727,0.7128329456645727,0.7128329456645727,0.06872145286424815,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align003,0.03,1,0.7714072516889173,0.7714072516889173,0.7714072516889173,0.08023054140952801,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align003,0.03,2,0.7389096708352122,0.7389096708352122,0.7389096708352122,0.07409983404873102,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align003,0.03,3,0.7703501991785978,0.7703501991785978,0.7703501991785978,0.0800241713975149,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align003,0.03,4,0.7439219533490591,0.7439219533490591,0.7439219533490591,0.07483636759913849,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align003,0.03,5,0.7576596354180416,0.7576596354180416,0.7576596354180416,0.07787813690576008,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align003,0.03,6,0.7361232685952133,0.7361232685952133,0.7361232685952133,0.07345447034447564,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align003,0.03,7,0.7555528845737189,0.7555528845737189,0.7555528845737189,0.07756571536317128,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align003,0.03,8,0.7466553793263979,0.7466553793263979,0.7466553793263979,0.07564769748477938,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align003,0.03,9,0.7522593145134785,0.7522593145134785,0.7522593145134785,0.07676063043892228,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align010,0.1,0,0.74349319257777,0.74349319257777,0.74349319257777,0.08460162835418752,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align010,0.1,1,0.7806851092173572,0.7806851092173572,0.7806851092173572,0.08972042847863848,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align010,0.1,2,0.7769040075828367,0.7769040075828367,0.7769040075828367,0.09044783715665085,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align010,0.1,3,0.7935157428166258,0.7935157428166258,0.7935157428166258,0.09562941244360726,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align010,0.1,4,0.7767768150386701,0.7767768150386701,0.7767768150386701,0.09108314214065359,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align010,0.1,5,0.7793970339481822,0.7793970339481822,0.7793970339481822,0.09557281670996304,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align010,0.1,6,0.7622401214314505,0.7622401214314505,0.7622401214314505,0.08566622955267789,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align010,0.1,7,0.7827544726233066,0.7827544726233066,0.7827544726233066,0.08932457744947744,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align010,0.1,8,0.7737863230387975,0.7737863230387975,0.7737863230387975,0.08922615541612637,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
align010,0.1,9,0.7868534105585555,0.7868534105585555,0.7868534105585555,0.09368168778749388,1052,posterior_mean,,not_computed_published_eval_uses_eval_mode_mu,0.0
