column_id,condition,depth,direct_children,farthest_in_seeds,formula,id,latent,mean,mean_distance_across_seeds,metric,outlier_score_mean,paper_mean_sibling_distance,paper_sibling_distance_sd,row_id,sample_sd,seed_count,source_artifact,value,wider_neighbourhood_jaccard
,monolingual_split_24_8_reg005,,,,Euclidean distance,,"posterior structure means, 8D",2.0655617246509115,,Monolingual sibling distance,,,,,0.03421033951771827,10,runs/seed_sweeps/*/metrics/seed*.metrics.json,,
,monolingual_split_24_8_reg005,,,,Euclidean distance,,"posterior structure means, 8D",6.106505133834647,,Monolingual parent-child distance,,,,,0.15657054875910573,10,runs/seed_sweeps/*/metrics/seed*.metrics.json,,
,monolingual_split_24_8_reg005,,,,Euclidean distance,,"posterior structure means, 8D",5.5574455181682065,,Monolingual unrelated distance,,,,,0.05318405419323675,10,runs/seed_sweeps/*/metrics/seed*.metrics.json,,
,,,,,,,,,,family 2.2 mean pairwise distance,,,,,0.4180807966392595,,reports/paper_reproducibility/reproduced/reproduced_euclidean_distances.csv,2.5323840460295535,
,,,,,,,,,,family 2.2 matched-null percentile mean,,,,,,,reports/paper_reproducibility/reproduced/reproduced_euclidean_distances.csv,0.0,
,,,,,,,,,,family 2.2 outlier seed count,,,,,,,reports/paper_reproducibility/reproduced/reproduced_euclidean_distances.csv,10,
,,4,0,0,,2.201,,,,,-1.6101182141980495,2.1885,0.3521,,,,reports/paper_reproducibility/reproduced/reproduced_euclidean_distances.csv,,0.5106227106227106
,,4,0,0,,2.202,,,,,0.26142400699509516,2.4118,0.4472,,,,reports/paper_reproducibility/reproduced/reproduced_euclidean_distances.csv,,0.5517399267399268
,,4,0,0,,2.203,,,,,-0.03880005892982721,2.3499,0.4632,,,,reports/paper_reproducibility/reproduced/reproduced_euclidean_distances.csv,,0.5957375957375958
,,3,0,0,,2.21,,,,,0.34511025311371973,2.481,0.4979,,,,reports/paper_reproducibility/reproduced/reproduced_euclidean_distances.csv,,0.6328671328671329
,,3,5,10,,2.22,,,,,12.673512276259805,3.2307,0.5111,,,,reports/paper_reproducibility/reproduced/reproduced_euclidean_distances.csv,,0.5596986346986347
2.201,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,0.0,,,,,2.201,,,paper/figures/family_case_distance_matrix_data.csv,,
2.202,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,1.7926645311713654,,,,,2.201,,,paper/figures/family_case_distance_matrix_data.csv,,
2.203,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,1.6575316555480757,,,,,2.201,,,paper/figures/family_case_distance_matrix_data.csv,,
2.21,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,2.1369987177459153,,,,,2.201,,,paper/figures/family_case_distance_matrix_data.csv,,
2.22,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,3.1667828419862936,,,,,2.201,,,paper/figures/family_case_distance_matrix_data.csv,,
2.201,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,1.7926645311713654,,,,,2.202,,,paper/figures/family_case_distance_matrix_data.csv,,
2.202,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,0.0,,,,,2.202,,,paper/figures/family_case_distance_matrix_data.csv,,
2.203,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,1.7293354369851037,,,,,2.202,,,paper/figures/family_case_distance_matrix_data.csv,,
2.21,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,2.548207865688898,,,,,2.202,,,paper/figures/family_case_distance_matrix_data.csv,,
2.22,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,3.5770772455096997,,,,,2.202,,,paper/figures/family_case_distance_matrix_data.csv,,
2.201,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,1.6575316555480757,,,,,2.203,,,paper/figures/family_case_distance_matrix_data.csv,,
2.202,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,1.7293354369851037,,,,,2.203,,,paper/figures/family_case_distance_matrix_data.csv,,
2.203,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,0.0,,,,,2.203,,,paper/figures/family_case_distance_matrix_data.csv,,
2.21,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,2.5362610618353045,,,,,2.203,,,paper/figures/family_case_distance_matrix_data.csv,,
2.22,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,3.476452039633396,,,,,2.203,,,paper/figures/family_case_distance_matrix_data.csv,,
2.201,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,2.1369987177459153,,,,,2.21,,,paper/figures/family_case_distance_matrix_data.csv,,
2.202,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,2.548207865688898,,,,,2.21,,,paper/figures/family_case_distance_matrix_data.csv,,
2.203,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,2.5362610618353045,,,,,2.21,,,paper/figures/family_case_distance_matrix_data.csv,,
2.21,,,,,Euclidean distance averaged over seeds,,"monolingual posterior structure means, 8D",,0.0,,,,,2.21,,,paper/figures/family_case_distance_matrix_data.csv,,
