condition,metric,mean,sample_sd,seed_count,latent,formula,source_artifact
0.00,same-ID distance,0.7597744104186845,0.0195472675772643,10,"posterior structure means, 8D",mean same-ID German-English Euclidean distance,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.03,same-ID distance,0.748567250314321,0.017293417182841393,10,"posterior structure means, 8D",mean same-ID German-English Euclidean distance,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.10,same-ID distance,0.7756406228833553,0.013963313282804073,10,"posterior structure means, 8D",mean same-ID German-English Euclidean distance,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.30,same-ID distance,0.9502035939959746,0.039760228624064455,10,"posterior structure means, 8D",mean same-ID German-English Euclidean distance,runs/seed_sweeps/*/metrics/seed*.metrics.json
1.00,same-ID distance,1.1970038831460612,0.039775865385594196,10,"posterior structure means, 8D",mean same-ID German-English Euclidean distance,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.00,sibling,1.802120408906049,0.02601897428752139,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.00,parent-child,6.212631076838469,0.108846839887799,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.00,cross-language parent-child,6.214859264893798,0.10890021970373367,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.00,unrelated,5.836510200384905,0.06485822744903577,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.03,sibling,1.8045334026572248,0.025876190570304616,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.03,parent-child,6.203806461419672,0.11038917000935113,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.03,cross-language parent-child,6.205995717076208,0.11055534756976229,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.03,unrelated,5.831376921620659,0.06627086163066928,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.10,sibling,1.8490674136875769,0.020668087889470173,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.10,parent-child,6.141993347436247,0.12147606759204775,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.10,cross-language parent-child,6.144559711619839,0.1218562566859625,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.10,unrelated,5.796424549143804,0.07412447836316474,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.30,sibling,2.056018131545611,0.03244176978009389,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.30,parent-child,5.891991873352514,0.13096720859382066,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.30,cross-language parent-child,5.897058872588567,0.1311640277869037,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.30,unrelated,5.630251931883537,0.07970518690974697,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
1.00,sibling,2.4088818884450633,0.041929765837868296,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
1.00,parent-child,4.913576087407295,0.2078456228300508,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
1.00,cross-language parent-child,4.920333241199023,0.20574909055887894,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
1.00,unrelated,4.807788425485671,0.15989862623088177,10,"posterior structure means, 8D",Euclidean distance over relation pairs,runs/seed_sweeps/*/metrics/seed*.metrics.json
