value_name,metric_family,paper_value,reproduced_value,paper_rounded_4dp,reproduced_rounded_4dp,abs_diff_rounded,status,paper_location,source_artifact
Parent accuracy,supporting metric,0.6983,0.6982889733840304,0.6983,0.6983,0.0,match,"paper/main.tex:156,175",runs/seed_sweeps/*/metrics/seed*.metrics.json
Depth accuracy,supporting metric,0.9274,0.9273764258555135,0.9274,0.9274,0.0,match,"paper/main.tex:158,176",runs/seed_sweeps/*/metrics/seed*.metrics.json
Successor accuracy,supporting metric,0.3724,0.37243346007604566,0.3724,0.3724,0.0,match,"paper/main.tex:160,177",runs/seed_sweeps/*/metrics/seed*.metrics.json
lambda=0.00 pooled Top-1,same-ID retrieval,0.9348,0.934790874524715,0.9348,0.9348,0.0,match,"paper/main.tex:209,240",runs/seed_sweeps/bilingual_alignment_lambda_sweep/*/metrics/seed*.metrics.json
lambda=0.00 pooled MRR,same-ID retrieval,0.965,0.9649984157160963,0.965,0.965,0.0,match,"paper/main.tex:209,240",runs/seed_sweeps/bilingual_alignment_lambda_sweep/*/metrics/seed*.metrics.json
lambda=0.00 pooled Top-1 SD,same-ID retrieval,0.0115,0.01149626966223934,0.0115,0.0115,0.0,match,"paper/main.tex:209,240",runs/seed_sweeps/bilingual_alignment_lambda_sweep/*/metrics/seed*.metrics.json
lambda=0.00 pooled MRR SD,same-ID retrieval,0.0066,0.006637861975964833,0.0066,0.0066,0.0,match,"paper/main.tex:209,240",runs/seed_sweeps/bilingual_alignment_lambda_sweep/*/metrics/seed*.metrics.json
lambda=0.03 pooled Top-1,same-ID retrieval,0.9365,0.9365019011406843,0.9365,0.9365,0.0,match,"paper/main.tex:215,241,353",runs/seed_sweeps/bilingual_alignment_lambda_sweep/*/metrics/seed*.metrics.json
lambda=0.03 pooled MRR,same-ID retrieval,0.9662,0.9662468314321926,0.9662,0.9662,0.0,match,"paper/main.tex:215,241,353",runs/seed_sweeps/bilingual_alignment_lambda_sweep/*/metrics/seed*.metrics.json
Exact-token Jaccard Top-1,Jaccard,0.1768,0.17680608365019013,0.1768,0.1768,0.0,match,"paper/main.tex:211,350-351",reports/paper_reproducibility/reproduced/reproduced_jaccard_values.csv
Exact-token Jaccard MRR,Jaccard,0.2539,0.25393282503948766,0.2539,0.2539,0.0,match,"paper/main.tex:211,350-351",reports/paper_reproducibility/reproduced/reproduced_jaccard_values.csv
Word TF-IDF Top-1,TF-IDF,0.1293,0.12927756653992395,0.1293,0.1293,0.0,match,"paper/main.tex:211,350-351",reports/paper_reproducibility/reproduced/reproduced_tfidf_values.csv
Word TF-IDF MRR,TF-IDF,0.1941,0.1941290691602779,0.1941,0.1941,0.0,match,"paper/main.tex:211,350-351",reports/paper_reproducibility/reproduced/reproduced_tfidf_values.csv
Character 3-5 TF-IDF Top-1,TF-IDF,0.4097,0.40969581749049433,0.4097,0.4097,0.0,match,"paper/main.tex:211,350-351",reports/paper_reproducibility/reproduced/reproduced_tfidf_values.csv
Character 3-5 TF-IDF MRR,TF-IDF,0.5239,0.5239247080137711,0.5239,0.5239,0.0,match,"paper/main.tex:211,350-351",reports/paper_reproducibility/reproduced/reproduced_tfidf_values.csv
lambda=0.00 Cross-direction Jaccard mean,Jaccard,0.624,0.6239785482292758,0.624,0.624,0.0,match,"paper/main.tex:213,365-369",reports/paper_reproducibility/reproduced/reproduced_jaccard_values.csv
lambda=0.00 Cross-direction Jaccard SD,Jaccard,0.0086,0.008615633545663446,0.0086,0.0086,0.0,match,"paper/main.tex:213,365-369",reports/paper_reproducibility/reproduced/reproduced_jaccard_values.csv
lambda=0.00 Within-language Jaccard mean,Jaccard,0.6301,0.6300564740063741,0.6301,0.6301,0.0,match,"paper/main.tex:213,365-369",reports/paper_reproducibility/reproduced/reproduced_jaccard_values.csv
lambda=0.00 Within-language Jaccard SD,Jaccard,0.0062,0.006216040867439926,0.0062,0.0062,0.0,match,"paper/main.tex:213,365-369",reports/paper_reproducibility/reproduced/reproduced_jaccard_values.csv
lambda=0.03 Cross-direction Jaccard mean,Jaccard,0.627,0.627034842316659,0.627,0.627,0.0,match,"paper/main.tex:213,365-369",reports/paper_reproducibility/reproduced/reproduced_jaccard_values.csv
lambda=0.03 Cross-direction Jaccard SD,Jaccard,0.0086,0.008580815293578242,0.0086,0.0086,0.0,match,"paper/main.tex:213,365-369",reports/paper_reproducibility/reproduced/reproduced_jaccard_values.csv
lambda=0.03 Within-language Jaccard mean,Jaccard,0.6303,0.63034147558524,0.6303,0.6303,0.0,match,"paper/main.tex:213,365-369",reports/paper_reproducibility/reproduced/reproduced_jaccard_values.csv
lambda=0.03 Within-language Jaccard SD,Jaccard,0.0055,0.0054936672183800725,0.0055,0.0055,0.0,match,"paper/main.tex:213,365-369",reports/paper_reproducibility/reproduced/reproduced_jaccard_values.csv
Random k=10 Jaccard,Jaccard,0.0103,0.010328517371861025,0.0103,0.0103,0.0,match,"paper/main.tex:213,365",reports/paper_reproducibility/reproduced/reproduced_jaccard_values.csv
Monolingual sibling distance mean,Euclidean,2.0656,2.0655617246509115,2.0656,2.0656,0.0,match,paper/main.tex:181,runs/seed_sweeps/*/metrics/seed*.metrics.json
Monolingual sibling distance SD,Euclidean,0.0342,0.03421033951771827,0.0342,0.0342,0.0,match,paper/main.tex:181,runs/seed_sweeps/*/metrics/seed*.metrics.json
Monolingual parent-child distance mean,Euclidean,6.1065,6.106505133834647,6.1065,6.1065,0.0,match,paper/main.tex:182,runs/seed_sweeps/*/metrics/seed*.metrics.json
Monolingual parent-child distance SD,Euclidean,0.1566,0.15657054875910573,0.1566,0.1566,0.0,match,paper/main.tex:182,runs/seed_sweeps/*/metrics/seed*.metrics.json
Monolingual unrelated distance mean,Euclidean,5.5574,5.5574455181682065,5.5574,5.5574,0.0,match,paper/main.tex:183,runs/seed_sweeps/*/metrics/seed*.metrics.json
Monolingual unrelated distance SD,Euclidean,0.0532,0.05318405419323675,0.0532,0.0532,0.0,match,paper/main.tex:183,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.00 same-ID distance mean,Euclidean,0.7598,0.7597744104186845,0.7598,0.7598,0.0,match,paper/main.tex:297-301,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.00 same-ID distance SD,Euclidean,0.0195,0.0195472675772643,0.0195,0.0195,0.0,match,paper/main.tex:297-301,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.03 same-ID distance mean,Euclidean,0.7486,0.748567250314321,0.7486,0.7486,0.0,match,paper/main.tex:297-301,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.03 same-ID distance SD,Euclidean,0.0173,0.017293417182841393,0.0173,0.0173,0.0,match,paper/main.tex:297-301,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.10 same-ID distance mean,Euclidean,0.7756,0.7756406228833553,0.7756,0.7756,0.0,match,paper/main.tex:297-301,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.10 same-ID distance SD,Euclidean,0.014,0.013963313282804073,0.014,0.014,0.0,match,paper/main.tex:297-301,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.30 same-ID distance mean,Euclidean,0.9502,0.9502035939959746,0.9502,0.9502,0.0,match,paper/main.tex:297-301,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.30 same-ID distance SD,Euclidean,0.0398,0.039760228624064455,0.0398,0.0398,0.0,match,paper/main.tex:297-301,runs/seed_sweeps/*/metrics/seed*.metrics.json
1.00 same-ID distance mean,Euclidean,1.197,1.1970038831460612,1.197,1.197,0.0,match,paper/main.tex:297-301,runs/seed_sweeps/*/metrics/seed*.metrics.json
1.00 same-ID distance SD,Euclidean,0.0398,0.039775865385594196,0.0398,0.0398,0.0,match,paper/main.tex:297-301,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.00 sibling distance mean,Euclidean,1.8021,1.802120408906049,1.8021,1.8021,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.00 sibling distance SD,Euclidean,0.026,0.02601897428752139,0.026,0.026,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.00 parent-child distance mean,Euclidean,6.2126,6.212631076838469,6.2126,6.2126,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.00 parent-child distance SD,Euclidean,0.1088,0.108846839887799,0.1088,0.1088,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.00 cross-language parent-child distance mean,Euclidean,6.2149,6.214859264893798,6.2149,6.2149,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.00 cross-language parent-child distance SD,Euclidean,0.1089,0.10890021970373367,0.1089,0.1089,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.00 unrelated distance mean,Euclidean,5.8365,5.836510200384905,5.8365,5.8365,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.00 unrelated distance SD,Euclidean,0.0649,0.06485822744903577,0.0649,0.0649,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.03 sibling distance mean,Euclidean,1.8045,1.8045334026572248,1.8045,1.8045,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.03 sibling distance SD,Euclidean,0.0259,0.025876190570304616,0.0259,0.0259,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.03 parent-child distance mean,Euclidean,6.2038,6.203806461419672,6.2038,6.2038,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.03 parent-child distance SD,Euclidean,0.1104,0.11038917000935113,0.1104,0.1104,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.03 cross-language parent-child distance mean,Euclidean,6.206,6.205995717076208,6.206,6.206,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.03 cross-language parent-child distance SD,Euclidean,0.1106,0.11055534756976229,0.1106,0.1106,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.03 unrelated distance mean,Euclidean,5.8314,5.831376921620659,5.8314,5.8314,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.03 unrelated distance SD,Euclidean,0.0663,0.06627086163066928,0.0663,0.0663,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.10 sibling distance mean,Euclidean,1.8491,1.8490674136875769,1.8491,1.8491,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.10 sibling distance SD,Euclidean,0.0207,0.020668087889470173,0.0207,0.0207,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.10 parent-child distance mean,Euclidean,6.142,6.141993347436247,6.142,6.142,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.10 parent-child distance SD,Euclidean,0.1215,0.12147606759204775,0.1215,0.1215,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.10 cross-language parent-child distance mean,Euclidean,6.1446,6.144559711619839,6.1446,6.1446,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.10 cross-language parent-child distance SD,Euclidean,0.1219,0.1218562566859625,0.1219,0.1219,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.10 unrelated distance mean,Euclidean,5.7964,5.796424549143804,5.7964,5.7964,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.10 unrelated distance SD,Euclidean,0.0741,0.07412447836316474,0.0741,0.0741,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.30 sibling distance mean,Euclidean,2.056,2.056018131545611,2.056,2.056,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.30 sibling distance SD,Euclidean,0.0324,0.03244176978009389,0.0324,0.0324,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.30 parent-child distance mean,Euclidean,5.892,5.891991873352514,5.892,5.892,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
0.30 parent-child distance SD,Euclidean,0.131,0.13096720859382066,0.131,0.131,0.0,match,paper/main.tex:316-320,runs/seed_sweeps/*/metrics/seed*.metrics.json
